username, created_at, lng, lat, text
JacobRanda11, Thu Apr 23 21:17:53 +0000 2020, -80.926628, 33.631140, I been playing this game for 20 years lol 
Sleeperkid, Thu Apr 23 21:17:53 +0000 2020, -83.173867, 32.678207, During this time of pain and evolution, I have had a chance to speak with some truly loving friends who reached out… https://t.co/9xxLVaUMbu 
RenaissanceMars, Thu Apr 23 21:17:53 +0000 2020, -79.026020, 35.919442, @HeyArtez https://t.co/cnEq7Vfwgz 
Nudiskomusic, Thu Apr 23 21:17:53 +0000 2020, -118.107439, 34.010187, Fuckkkkk this is crazy 
jasminevanee5, Thu Apr 23 21:17:53 +0000 2020, -118.129042, 33.888081, @Shes___crystal BITCHHHHHHH 
DJSimbaOnDaMix, Thu Apr 23 21:17:53 +0000 2020, -98.540651, 29.417501, @Chelslmaldonado And she acts so innocent every damn time 
Hammi_Computer, Thu Apr 23 21:17:53 +0000 2020, -118.255450, 34.145270, Just posted a photo @ Hammi Computer Service https://t.co/VHCy6jv27B 
Yungzlioness, Thu Apr 23 21:17:53 +0000 2020, -83.173867, 32.678207, @MsAmberWyatt Lmaooooo 😂😂😂😂😂😂 I’m hearing the phone call right now with your extra ass. 
freshandbling, Thu Apr 23 21:17:53 +0000 2020, -88.008198, 44.523173, 🖐🏽🖐🏽🖐🏽🖐🏽 
JordanHiraldo, Thu Apr 23 21:17:53 +0000 2020, -73.849441, 40.850347, @Bombitznyc I’m finna open up my own shìt at this point 
Blackjacks_DB, Thu Apr 23 21:17:53 +0000 2020, -93.361321, 46.441861, An updated graphic for the re-phasing of the Dawson-Boyd remodel and construction project is below.  Walkthroughs f… https://t.co/exxYxhN64x 
3MuchHutch, Thu Apr 23 21:17:53 +0000 2020, -77.014398, 38.898603, @itz_travy Like so, like that 💁🏾‍♀️🤣 
SCunninghamCRE, Thu Apr 23 21:17:53 +0000 2020, -81.890418, 26.575027, Bishop Verot Baseball Players....there is absolutely NO reason for you to come to Summer conditioning out of shape.… https://t.co/PLFaR3zuGb 
heathershae, Thu Apr 23 21:17:53 +0000 2020, -73.948775, 40.655138, @hrslaton !!!!! 
MyKeyTailor, Thu Apr 23 21:17:53 +0000 2020, -96.761753, 32.819858, Boy is that ketchup directly on the fries 
lechells_, Thu Apr 23 21:17:53 +0000 2020, -119.782465, 36.786042, So I woke up early to finish my class work and my quizzes that are due today only cause it’s Draft Day and I am not missing it 
MariaKlann, Thu Apr 23 21:17:53 +0000 2020, -80.298584, 25.843091, #tbt haciendo un comercial de lo que más se está usando en estos tiempos #clorox..Do you have yours? Because I o… https://t.co/w7BrRKmR82 
Taft_Career_Ctr, Thu Apr 23 21:17:54 +0000 2020, -98.540651, 29.417501, https://t.co/jjzZfNrWa9 https://t.co/7aOPfdqzOO 
GardenGeek86, Thu Apr 23 21:17:54 +0000 2020, -122.231788, 47.959950, Exactly what I felt as I was attempting to trellis the rose bush on the south side of the house 😰 https://t.co/A7eNHltGGr 
jorgehub8, Thu Apr 23 21:17:53 +0000 2020, -93.361321, 46.441861, Although the season has been canceled.. I still got to have a fun time being around some of the guys today. I raced… https://t.co/uZxYHHrY8S 
TonyTurf, Thu Apr 23 21:17:53 +0000 2020, -87.686164, 42.062922, Well fellow turf and golf geeks - it looks like we'll be allowed to open on May 1st with what I'm assuming will be… https://t.co/R0mSn9MsJN 
NylaChann, Thu Apr 23 21:17:54 +0000 2020, -84.433106, 33.767195, @ohdatstay Why did my mom ask me the other day when do I plan on getting pregnant 💀💀💀 
kabuli07, Thu Apr 23 21:17:54 +0000 2020, -122.030365, 37.529056, @AriaAber 😭 
Davingates, Thu Apr 23 21:17:54 +0000 2020, -101.963699, 35.867226, @drewsephh you just gonna sit there and take that ? 
the59thStBridge, Thu Apr 23 21:17:54 +0000 2020, -73.948775, 40.655138, #ThursdayThoughts: What’s the most random thing you’ve ever bought at a 99-cent store? Mine: Windex with a label in Bahasa Indonesia 🇮🇩 
KanyesDick_, Thu Apr 23 21:17:54 +0000 2020, -79.002112, 35.054627, Zy$ gotta let me hold something!! 
JuiicyGee, Thu Apr 23 21:17:54 +0000 2020, -118.408990, 34.006012, Babyyyy sisssssterrrr! 😍😍 
J_dayoub, Thu Apr 23 21:17:54 +0000 2020, -77.014398, 38.898603, @billmaher My dude! For a guy that’s very pro- science you’re sounding very pro-stupid 🤷🏻‍♂️ 
DianeMi53736168, Thu Apr 23 21:17:54 +0000 2020, -81.109617, 32.017285, https://t.co/2HyjIxM6NI 
HesCornelius, Thu Apr 23 21:17:54 +0000 2020, -97.114771, 33.202495, @EliasEverette_ B2K ass boy 
Sam_Elmore, Thu Apr 23 21:17:54 +0000 2020, -86.142922, 39.779562, @YardHouse 
rupson99, Thu Apr 23 21:17:54 +0000 2020, -122.445033, 37.749080, Creating music... more specifically heavy distorted guitar and drums.  What should we call my new band? 
LPaitsel, Thu Apr 23 21:17:54 +0000 2020, -79.959699, 37.341659, @RepVernonJones Proud of you. Hang in there. 
Tites600, Thu Apr 23 21:17:54 +0000 2020, -95.400973, 30.124856, Luke Combs concert in my living room on Saturday! So excited can’t wait!! 🥺 
adrianamireyaaa, Thu Apr 23 21:17:55 +0000 2020, -118.411907, 34.020789, Today’s weather is perfect for the beach 
thedonvisi, Thu Apr 23 21:17:55 +0000 2020, -80.846785, 35.209059, @phillypanama @AlbyShayyye Omfg 
MagillDrew, Thu Apr 23 21:17:55 +0000 2020, -82.985772, 39.994684, Another one today :) 
MarcelloRelli, Thu Apr 23 21:17:55 +0000 2020, -105.112216, 40.165931, 8pm Live on Facebook- LOCO open mic 
nicefaceilikeit, Thu Apr 23 21:17:55 +0000 2020, -73.831187, 40.670879, “hey girls sorry lmao xoxo” LMFAOOOOOO 
jo_get_real, Thu Apr 23 21:17:55 +0000 2020, -83.173867, 32.678207, This is my future son...he will make it to the MLB! 
halshetaiwi, Thu Apr 23 21:17:55 +0000 2020, -117.782360, 33.689732, Thank you so much @DLawsonlab @KessenbrockLab and all labmates for zoom birthday. I was surprised with this theme😅🎉… https://t.co/T3ieu8ymyk 
DamniSnapped, Thu Apr 23 21:17:55 +0000 2020, -84.270277, 33.726083, Make this go viral like all those Tik Toks 
teahbia, Thu Apr 23 21:17:55 +0000 2020, -83.804475, 27.698682, mood af: https://t.co/ysCawMlu6p 
CHUCKY_GS, Thu Apr 23 21:17:55 +0000 2020, -73.831187, 40.670879, i aint know runtz was gelato &amp; zkittles mixed no wonder y so many like it 
Berklee_Lynn, Thu Apr 23 21:17:55 +0000 2020, -98.123250, 29.705614, Can it be July yet? 🥺🥺 I’m just trying to decorate my own apartment 😩 
thishogfan, Thu Apr 23 21:17:55 +0000 2020, -92.342322, 34.721886, @lazonadeportiva The girl not you Leo! Lol. 
BasedGoddessKee, Thu Apr 23 21:17:55 +0000 2020, -97.285913, 32.779967, irritated already 
AnnieHandler, Thu Apr 23 21:17:55 +0000 2020, -71.088712, 42.313670, @caffeinatedcee Perhaps in three years, my then 9 year old K9 will sit silently and judge as I write my K99 
shadesofdai23, Thu Apr 23 21:17:55 +0000 2020, -78.895441, 35.990983, Want some of these so baaaad😻😻😻😻😻😻 @thtgyal_cort 👀 
_proverbs31__, Thu Apr 23 21:17:55 +0000 2020, -118.454225, 33.980093, This is all I need right now.... simple pleasures ⛵️ ☀️ https://t.co/om4V4Jgzt0 
Mickamee, Thu Apr 23 21:17:55 +0000 2020, -73.977717, 40.705597, โมโหงานจนอยากจะด่ากราดใส่ทุกคน 
zoeemoney, Thu Apr 23 21:17:55 +0000 2020, -118.076746, 33.907251, I’m having a quarantine concert on Snapchat 😂 
Cassie_Lovette, Thu Apr 23 21:17:55 +0000 2020, -71.088712, 42.313670, Everybody just outside with masks on it’s really ghetto 
TheMikeCrocker, Thu Apr 23 21:17:55 +0000 2020, -73.948775, 40.655138, @jamieprimeau Must be a great roommate 🤙🏻 
Tashakaye_, Thu Apr 23 21:17:55 +0000 2020, -75.770041, 42.746617, @nahjaaa Hate them. 😭 https://t.co/qzJCzPxrgP 
x_Glamorous_, Thu Apr 23 21:17:55 +0000 2020, -73.948775, 40.655138, @DJTriniKing Lmaoo must be nice 🥺 
macfucking1, Thu Apr 23 21:17:55 +0000 2020, -117.104989, 32.810012, you gotta be mentally ill to enjoy bladee fr that’s fine tho 
gyroALV, Thu Apr 23 21:17:55 +0000 2020, -117.104989, 32.810012, @CompaP0nyALV That's actually pretty good. KRS one isn't on my list but everyone else is. 
evangelist84, Thu Apr 23 21:17:55 +0000 2020, -118.131964, 34.177310, @StephenAnfield https://t.co/EcZ2oczmPx 
tmj_NM_cstsrv, Thu Apr 23 21:17:56 +0000 2020, -108.164078, 36.749264, Can you recommend anyone for this job? Retail Sales Associate - https://t.co/BqL7VE8slt #CustomerService #Farmington, NM 
VirallyAds, Thu Apr 23 21:17:55 +0000 2020, -73.977182, 40.780751, ❤Help Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields… https://t.co/ubje2A6zwq 
Pass510, Thu Apr 23 21:17:56 +0000 2020, -122.228685, 37.791994, @GeechiGotti 😢 man... 
bunnyves32, Thu Apr 23 21:17:56 +0000 2020, -119.306608, 37.269176, @Kirwin__ he uses slurs bai https://t.co/ABraJVzi3F 
Mwilkes44, Thu Apr 23 21:17:56 +0000 2020, -112.124676, 33.552863, @JVCKJAMES are you touring when this is all over and if so. Phx should be a stop. A few records I want to hear live. 
Foxsss9, Thu Apr 23 21:17:56 +0000 2020, -74.909257, 39.909910, @BrandonGowton https://t.co/m1yW6bxUpQ https://t.co/YOt7rDTohL 
SuchetaThomas, Thu Apr 23 21:17:56 +0000 2020, -111.931711, 34.168253, @XDAleahXD Will the college have a makeup event after the quarantine or even a virtual event? 
BunkHaus, Thu Apr 23 21:17:56 +0000 2020, -98.716992, 35.309047, The “indian maiden” is gone, now, give the #landback #landolakes #pollution #epa #trumpadministration #ndnmemes… https://t.co/4cmpyWWNyB 
LarryInMissouri, Thu Apr 23 21:17:56 +0000 2020, -90.351698, 38.586505, @brucerace @finebaum 😂😂😂...I only play a Doctor when Momma wants to role play on Saturday night😂.... 
myocean, Thu Apr 23 21:17:56 +0000 2020, -83.804475, 27.698682, @LobsterBFFs1 💙🙏🏽😘 love this!!!!! Hugs sweet pea!!! 
tmj_sfo_sales, Thu Apr 23 21:17:56 +0000 2020, -122.535254, 37.934092, Want to work at Fidelity Investments? We're hiring in #Larkspur, CA! Click the link in our bio for details on this… https://t.co/S7RIX8RWrV 
richg4021, Thu Apr 23 21:17:56 +0000 2020, -81.678615, 26.082293, @realDonaldTrump MR T, WE ALL KNOW ANY POLE TAKEN WITH YOUR NAME AND LOW, IS A DAMN LIE &amp; FAKE POLE. MORE OF US FRO… https://t.co/zrkD9YEhCh 
tmj_WAR_NURSING, Thu Apr 23 21:17:56 +0000 2020, -119.161041, 46.213805, Looking for work/life balance? Kadlec in #Kennewick, WA could be your perfect fit. Learn more: Urgent Care Nurse Pr… https://t.co/lJ0EeyDPFj 
okayrisaa, Thu Apr 23 21:17:56 +0000 2020, -84.433408, 33.640544, the plane is so empty ...😂 literally one person to a seat. https://t.co/rVHM3s1Hbi 
thenames_jenn, Thu Apr 23 21:17:56 +0000 2020, -75.117998, 40.004866, @gxxrz Strongly going with end of August. Once we reach our highest heat peaks. 
conorjrogers, Thu Apr 23 21:17:56 +0000 2020, -77.014398, 38.898603, Homemade gay rights. https://t.co/RMpgzwKqIz 
Juju_TheMaestro, Thu Apr 23 21:17:56 +0000 2020, -75.117998, 40.004866, @Noobomi How ya feeling today? And no face cam is cool, I do it for AM streams and challenge runs! 
QuarkSpin, Thu Apr 23 21:17:56 +0000 2020, -86.779611, 33.298028, Meanwhile, at the launch pad: 
leadernimjoon, Thu Apr 23 21:17:56 +0000 2020, -100.301711, 47.467857, can kim namjoon or park jimin just step on me? or can all seven of them just step on me? 
SJArmentrout, Thu Apr 23 21:17:57 +0000 2020, -76.295896, 36.763216, @YungMayoYT He’s going top 10. 
bembry002, Thu Apr 23 21:17:57 +0000 2020, -77.688536, 43.251452, @CarmelReal_77 WTH!!! She looks foolish 
mariaaranibar13, Thu Apr 23 21:17:57 +0000 2020, -71.242072, 42.394453, the fact that men in the comments are getting so butthurt over the fact that women are saying they hate men and tha… https://t.co/50rsonv5iR 
landoralpha, Thu Apr 23 21:17:57 +0000 2020, -73.687100, 42.727940, @Matthewbabybaby Yeah man, it’s tough out there. Everyone decided to be a streamer all of a sudden 😂 
karycatura_, Thu Apr 23 21:17:57 +0000 2020, -87.732013, 41.833585, Que @laorejadevgogh haya suspendido sus shows en EUA hasta 2021 es de lo más triste que me ha pasado por esta pandemia 💔 
il_eyan, Thu Apr 23 21:17:57 +0000 2020, -112.124676, 33.552863, https://t.co/QcardEZHpA 
TJMattf, Thu Apr 23 21:17:57 +0000 2020, -93.262046, 44.970610, @Jackiealbers3 Nice 
myameens, Thu Apr 23 21:17:57 +0000 2020, -78.948208, 43.748102, Toronto-  FINALLY- Our Report Confirm- This moment NINE LAKH Pakistanis are Full Blown Corona Virus Patients. By En… https://t.co/H4GRPKYqba 
aaajarg, Thu Apr 23 21:17:57 +0000 2020, -95.446486, 29.838495, Not with a bf🤦🏽‍♀️ but pop out looking cute lol 
Bfernandez996, Thu Apr 23 21:17:57 +0000 2020, -122.077034, 37.953817, Poor Big Poppa I feel for you brotha 
BiggerMarie, Thu Apr 23 21:17:56 +0000 2020, -71.683502, 42.036939, 🖌️🎨🖍️#yupIcolor #ColoringBook #adultColoringBook#gelPen #gelpens#StayHome #stayingHome #stayIn #stayingIn #art… https://t.co/BIhNfamlee 
eflores_209, Thu Apr 23 21:17:57 +0000 2020, -121.300425, 37.980826, @MrRoscoes 🔥 I will take it 😁 
catalystcain, Thu Apr 23 21:17:57 +0000 2020, -122.330800, 47.604600, Thoughts From Quarantine Week 6!This week we cover a few topics on a lot of people's minds:- progressing bodywei… https://t.co/N2jseksqEl 
_chuyster, Thu Apr 23 21:17:57 +0000 2020, -118.157338, 33.995070, Definitely making a beer run after work, fuck this heat. 
MsWednesday_, Thu Apr 23 21:17:57 +0000 2020, -77.604684, 41.117936, BLESSINGS 
Shanelie_, Thu Apr 23 21:17:58 +0000 2020, -83.804475, 27.698682, 💜 
ximena_0113, Thu Apr 23 21:17:58 +0000 2020, -95.446486, 29.838495, I miss my eyebrow lady so much 😔my eyebrows are getting out of control 
JustinLcooke, Thu Apr 23 21:17:58 +0000 2020, -79.861034, 35.170499, Check out collegebaseballhub's video! #TikTok https://t.co/pfbJwNMeuH 
ERICDMARTINEZ, Thu Apr 23 21:17:58 +0000 2020, -96.761753, 32.819858, https://t.co/w04m35deyn 
TheresMyQuis, Thu Apr 23 21:17:58 +0000 2020, -104.922093, 39.713563, 👏🏾👏🏾👏🏾👏🏾👏🏾 
ketty2409, Thu Apr 23 21:17:58 +0000 2020, -116.238001, 43.598033, Estos tipos son unos imbéciles 
dcwingate, Thu Apr 23 21:17:58 +0000 2020, -77.778008, 38.578876, @CharmC_Arm Approves!! 🐾🐾👅 Capeesh! https://t.co/yvb8INawpR 
astro_shenava, Thu Apr 23 21:17:58 +0000 2020, -80.104485, 40.579222, But before testing, tracing and screening is very important. What I mean by screening is figuring out if one is hig… https://t.co/jg7zppG6Ce 
ybntrvie, Thu Apr 23 21:17:58 +0000 2020, -83.804475, 27.698682, I’ll slime a nigga for @MANEIMJMORE 
